element,grupo,criterio_quimico,criticidade,brasil_relevante,fonte,url,ano
Ag,nobre,metal nobre,,,,,
Al,A_CLASSIFICAR,,,,,,
Au,nobre,metal nobre,,,,,
Bi,A_CLASSIFICAR,,,,,,
C,A_CLASSIFICAR,,,,,,
Cd,A_CLASSIFICAR,,,,,,
Co,A_CLASSIFICAR,,,,,,
Cr,A_CLASSIFICAR,,,,,,
Cu,A_CLASSIFICAR,,,,,,
Fe,A_CLASSIFICAR,,,,,,
Ga,A_CLASSIFICAR,,,,,,
Hf,A_CLASSIFICAR,,,,,,
Hg,A_CLASSIFICAR,,,,,,
In,A_CLASSIFICAR,,,,,,
Ir,pgm,grupo da platina,,,,,
La,A_CLASSIFICAR,,,,,,
Mn,A_CLASSIFICAR,,,,,,
Mo,A_CLASSIFICAR,,,,,,
Nb,A_CLASSIFICAR,,,,,,
Ni,A_CLASSIFICAR,,,,,,
O,A_CLASSIFICAR,,,,,,
Os,pgm,grupo da platina,,,,,
Pb,A_CLASSIFICAR,,,,,,
Pd,pgm,grupo da platina,,,,,
Pt,pgm,grupo da platina,,,,,
Re,A_CLASSIFICAR,,,,,,
Rh,pgm,grupo da platina,,,,,
Ru,pgm,grupo da platina,,,,,
Sc,A_CLASSIFICAR,,,,,,
Sn,A_CLASSIFICAR,,,,,,
Ta,A_CLASSIFICAR,,,,,,
Tc,radioativo,sem isotopo estavel,,,,,
Ti,A_CLASSIFICAR,,,,,,
Tl,A_CLASSIFICAR,,,,,,
V,A_CLASSIFICAR,,,,,,
W,A_CLASSIFICAR,,,,,,
Y,A_CLASSIFICAR,,,,,,
Zn,A_CLASSIFICAR,,,,,,
Zr,A_CLASSIFICAR,,,,,,
